"contactid"	"publicationid"	"pubtype"	"year"	"articletitle"	"citation"	"journal"	"volume"	"issue"	"pages"	"doi"	"booktitle"	"publisher"	"contactid.1"	"numvolumes"	"edition"	"volumetitle"	"seriestitle"	"seriesvolume"	"citationnumber"	"url"	"city"	"state"	"country"	"originallanguage"	"contactid.2"	"notes"
NA	217	NA	"1991"	"Mammoths, mastodonts, and elephants biology, behavior, and the fossil record"	NA	NA	0	NA	"3-412"	NA	NA	"Cambridge University Press"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	218	NA	"1988"	"Tapir and associated Pleistocene mammals from Archer County, Texas"	NA	"The Texas Journal of Science"	40	NA	"363-366"	NA	"The Texas Journal of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	219	NA	"1959"	"New evidence of antiquity of Tepexpan and other human remains from the Valley of Mexico"	NA	"Southwestern Journal of Anthropology"	15	NA	"36-42"	NA	"Southwestern Journal of Anthropology"	"University of the New Mexico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	220	NA	"1935"	"New evidence on the ancestry of Antilocapra americana"	NA	"Journal of Mammalogy"	0	NA	"307-315"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	221	NA	"1963"	"A porcupine from the Pleistocene of Aguascalientes, Mexico"	NA	"Contributions from the Museum of Paleontology, University of Michigan"	18	NA	"245-253"	NA	"Contributions from the Museum of Paleontology, University of Michigan"	"University of Michigan"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	222	NA	"1950"	"El bisonte gigante de Mxico"	NA	"Anales del Instituto de Biologa, Mxico"	21	NA	"243-254"	NA	"Anales del Instituto de Biologa, Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	223	NA	"1965"	"Quaternary mammals of North America"	NA	"The Quaternary of the United States"	0	NA	"509-525"	NA	"The Quaternary of the United States"	"Princeton University Press, Princeton, New Jersey"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	224	NA	"1989"	"Late Cenozoic tapirs (Mammalia: Perissodactyla) of western North America"	NA	"Natural History Museum of Los Angeles. County Contribitions in Science"	0	NA	"1-22"	NA	"Natural History Museum of Los Angeles. County Contribitions in Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	225	NA	"1989"	"Changing patterns of fauna exploitation"	NA	"Ancient trade and tribute economies of the Soconusco region of Mesoamerica"	0	NA	"133-153"	NA	"Ancient trade and tribute economies of the Soconusco region of Mesoamerica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	226	NA	"1992"	"Mammals from the Late Pleistocene Carrol Creek local fauna Donley Co., Texas"	NA	"The Southwestern Naturalist"	37	NA	"54-64"	NA	"The Southwestern Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	227	NA	"1986"	"The physical environment of the Guil Naquitz Cave Group"	NA	"Guil Naquitz, Archaic foraging and Early agriculture in Oaxaca, Mexico"	0	NA	"43-61"	NA	"Guil Naquitz, Archaic foraging and Early agriculture in Oaxaca, Mexico"	"Academic Press"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	228	NA	"1966"	"Pleistocene bears of North America I. Genus Tremarctos, spectacled bears"	NA	"Acta Zoologica Fennica"	0	NA	"1-120"	NA	"Acta Zoologica Fennica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	229	NA	"1967"	"Pleistocene bears of North America 2. Genus Arctodus, short-faced bears"	NA	"Acta Zoologica Fennica"	0	NA	"1-60"	NA	"Acta Zoologica Fennica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	230	NA	"1974"	"A history of coyote-like dogs (Canidae, Mammalia)"	NA	"Acta Zoologica Fennica"	0	NA	"1-38"	NA	"Acta Zoologica Fennica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	231	NA	"1995"	"Quaternary studies in northern Chihuahua"	NA	"Current Research in the Pleistocene"	12	NA	"29-31"	NA	"Current Research in the Pleistocene"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	232	NA	"1986"	"Mammutes excavados en la Cuenca de Mxico (1952-1980)"	NA	"Cuadernos de Trabajo del Departamento de Prehistoria"	0	NA	"7-151"	NA	"Cuadernos de Trabajo del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	233	NA	"1988"	"Los proboscideos fsiles de Costa Rica y su contexto en la America Central"	NA	"Vnculos"	14	NA	"29-58"	NA	"Vnculos"	"Reviste de Antropologa del Museo Nacional de Costa Rica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	234	NA	"1984"	"Tropical Sonora"	NA	"Sonorensis"	6	NA	"5-10"	NA	"Sonorensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	235	NA	"1972"	"Fossil vertebrates from the Late Pleistocene Ingleside fauna, San Patricio Country, Texas"	NA	"Report of Investigations, Bureau of Economic Geology"	0	NA	"1-74"	NA	"Report of Investigations, Bureau of Economic Geology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	236	NA	"1963"	"The Atotonilco mammoth hunt"	NA	"Quaterly L.A. Country Museum"	1	NA	"16-17"	NA	"Quaterly L.A. Country Museum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	237	NA	"1981"	"North American bison: their classification and evolution"	NA	NA	0	NA	NA	NA	NA	"University of California Press"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	238	NA	"1984"	"A Late Pleistocene mammalian fauna from Cueva Quebrada, Val Verde Country, Texas"	NA	"Contributions in Quaternary Vertebrate Paleontology: a volume in memmorial to John E. Guilday"	0	NA	"456-481"	NA	"Contributions in Quaternary Vertebrate Paleontology: a volume in memmorial to John E. Guilday"	"Carnegie Museum of Natural History Special Publication"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	239	NA	"1973"	"Origin and evolution of the Elephantidae"	NA	"Transactions of the American Philosophical Society"	63	NA	"5-149"	NA	"Transactions of the American Philosophical Society"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	240	NA	"1980"	"Ofrendas asociadas a entierros del Infiernillo en el Balsas"	NA	"Coleccin Cientfica"	0	NA	"135-178"	NA	"Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	241	NA	"1986"	"Faunal analysis"	NA	"Notes of the New World Archaelogical foundation"	0	NA	"26-33"	NA	"Notes of the New World Archaelogical foundation"	"Notes of the New World Archaelogical foundation. Brigham Young University"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	242	NA	"1967"	"Prehistoric overkill"	NA	"Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research"	6	NA	"75-120"	NA	"Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research"	"New Haven and London, Yale University"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	243	NA	"1967"	"A bestiary for Pleistocene biologists"	NA	"Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research"	6	NA	"1-62"	NA	"Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research"	"New Haven and London, Yale University"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	244	NA	"1974"	"Fossil mammals from the Coleman IIA fauna, Sumter County"	NA	"Pleistocene mammals of Florida"	0	NA	"35-99"	NA	"Pleistocene mammals of Florida"	"The University Presses of Florida"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	245	NA	"1978"	"A new Late Pleistocene Conepatus and associated vertebrate fauna from Florida"	NA	"Journal of Paleontology"	52	NA	"1079-1085"	NA	"Journal of Paleontology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	246	NA	"1987"	"Notes on the classification and evolution of some North American fossil Microtus (Mammalia, Rodentia)"	NA	"Journal of Vertebrate Paleontology"	7	NA	"270-283"	NA	"Journal of Vertebrate Paleontology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	247	NA	"1974"	"Late Pleistocene mammals from the Devil's Den fauna, Levy Conty"	NA	"Pleistocene mammals of Florida"	0	NA	NA	NA	"Pleistocene mammals of Florida"	"The University Presses of Florida"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	248	NA	"1971"	"Pleistocene vertebrate of the Los Angeles basin and vicinty (exclusive of Rancho La Brea)"	NA	"Bulletin of the Los Angeles County Museum of Natural History, Science"	0	NA	"1-124"	NA	"Bulletin of the Los Angeles County Museum of Natural History, Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	249	NA	"1976"	"Late Pleistocene vertebrates of the Sylver Creek local fauna from North Central Utah"	NA	"The Great Basin Naturalist"	36	NA	"387-424"	NA	"The Great Basin Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	250	NA	"1934"	"Sobre un gravigrado gigantesco (Mylodon) encontrado en el Valle de Mxico"	NA	"Anales del Instituto de Biologa, Mxico"	5	NA	"223-236"	NA	"Anales del Instituto de Biologa, Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	251	NA	"1863"	"On the american fossil elephant of the regions bordering the Gulf of Mexico (E. columbi, Falc.); with general observations on the living and extinct species"	NA	"Natural History Reviews"	3	NA	"43-114"	NA	"Natural History Reviews"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	252	NA	"1976"	"Zohapilco: cinco milenios de ocupacin humana en un sitio lacustre de la Cuenca de Mxico"	NA	"Coleccin Cientfica"	0	NA	"1-308"	NA	"Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	253	NA	"1959"	"Subfosil mammals from the Gmez Faras region the tropical gradient of Eastern Mexico"	NA	"Journal of Mammalogy"	40	NA	"1-12"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	254	NA	"1947"	"Nota preliminar sobre una fauna subfsil de pequeos vertebrados en un antiguo delta de la regin de Zumpango, Mx."	NA	"Revista de la Sociedad Mexicana de Historia Natural"	8	NA	"243-249"	NA	"Revista de la Sociedad Mexicana de Historia Natural"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	255	NA	"1967"	"Late-Pleistocene and Holocene faunal history of central Texas"	NA	"Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research"	6	NA	"287-319"	NA	"Pleistocene extinctions: the search for a cause. Proceedings of the VII Congress of the International Association for Quaternary Research"	"New Haven and London, Yale University"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	256	NA	"1905"	"Recent vertebrate paleontology. Fossil mammals of Mexico"	NA	"Science"	21	NA	"931-932"	NA	"Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	257	NA	"1982"	"Restos seos animales localizados en las excavaciones"	NA	"Coleccin Cientfica"	0	NA	"63-75"	NA	"Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	258	NA	"1987"	"Mammut americanum, Utah's first record of the American mastodon"	NA	"Journal of Paleontology"	61	NA	"168-183"	NA	"Journal of Paleontology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	259	NA	"9999"	"Informe sobre los restos de megafauna de Francisco R. Serrano, Municipio de Ixtapan, Chipas"	NA	"Archivo del Departamento de Prehistoria (6-157)"	0	NA	NA	NA	"Archivo del Departamento de Prehistoria (6-157)"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	260	NA	"1972"	"Una osamenta fsil en el exlago de Texcoco"	NA	"Boletn (II Epoca)"	0	NA	"9-16"	NA	"Boletn (II Epoca)"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	261	NA	"1971"	"Observaciones sobre la familia Mylodontidae (Edentata, Megalonychoidea)"	NA	"Paleoecologa"	0	NA	"1-22"	NA	"Paleoecologa"	"Departamento de Prehistoria, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	262	NA	"1973"	"Nota acerca de Eremotherium guanajuatense (Duges, 1882) (Edentata, Megatheroidea) de Araperos, estado de Guanajuato, Mxico"	NA	"Trab. V Congr. Latinoam. Zool."	0	NA	"162-165"	NA	"Trab. V Congr. Latinoam. Zool."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	263	NA	"1973"	"Nueva especie de pecari fsil (Platygonus) del estado de Jalisco"	NA	"Anales del Instituto Nacional de Antropologa e Historia, poca 7a."	0	NA	"119-128"	NA	"Anales del Instituto Nacional de Antropologa e Historia, poca 7a."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	264	NA	"1995"	"An Early Holocene hand-dug water well in the Tehuacan Valley"	NA	"Current Research in the Pleistocene"	12	NA	"38-40"	NA	"Current Research in the Pleistocene"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	265	NA	"1979"	"North American Quaternary Canis"	NA	"Monograph of the Museum of Natural History, University of Kansas"	0	NA	"1-154"	NA	"Monograph of the Museum of Natural History, University of Kansas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	266	NA	"1970"	"Cuvieronius arellanoi sp. n., mastodonte del Pleistoceno del estado de Oaxaca"	NA	"Universidad Nacional Autnoma de Mxico"	0	NA	"5-22"	NA	"Universidad Nacional Autnoma de Mxico"	"Instituto de Geologa, Universidad Nacional Autnoma de Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	267	NA	"1990"	"Informe de restos seos procedentes de Tonin, Chiapas"	NA	"Tonina: une cit maya du Chiapas (Mexique)"	4	NA	"1851"	NA	"Tonina: une cit maya du Chiapas (Mexique)"	"Collection Etudes Mesoamericaines 1-6-4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	268	NA	"1921"	"The evolution, phylogeny and classification of the Proboscidea"	NA	"American Museum Novitates"	0	NA	"1-15"	NA	"American Museum Novitates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	269	NA	"1920"	"Pleistocene peccaries from the Cumberland Cave deposits"	NA	"Proceedings U.S. National Museum"	57	NA	"651-678"	NA	"Proceedings U.S. National Museum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	270	NA	"1994"	"San Josecito Cave recent explorations into the past"	NA	"NSS News"	52	NA	"230-235"	NA	"NSS News"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	271	NA	"1965"	"Description of a new species of fossil Baiomys from the Pleistocene of Central Mexico"	NA	"Acta Zoologica Mexicana"	7	NA	"1-4"	NA	"Acta Zoologica Mexicana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	272	NA	"1964"	"Animal remains from the Schroeder site Durango, Mexico"	NA	"The Kiva"	29	NA	"99-110"	NA	"The Kiva"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	273	NA	"1963"	"Fossil vertebrates from Miller's cave Llano County, Texas"	NA	"Texas Memorial Museum"	0	NA	"7-41"	NA	"Texas Memorial Museum"	"The University of Texas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	274	NA	"1961"	"El mamut posiblemente ms antiguo de la Cuenca de Mxico, con algunas consideraciones paleoecolgicas y geocronolgicas"	NA	"Homenaje a Pablo Martnez del Ro"	0	NA	NA	NA	"Homenaje a Pablo Martnez del Ro"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	275	NA	"1981"	"Restos fsiles de Glossotherium y Eremotherium (Edentata) en Mxico"	NA	"Anais do II Congresso Latino-Americano de Paleontologia"	0	NA	"819-833"	NA	"Anais do II Congresso Latino-Americano de Paleontologia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	276	NA	"1982"	"Identificacin de restos seos de mammut"	NA	"Coleccin Cientfica"	0	NA	"77-87"	NA	"Coleccin Cientfica"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	277	NA	"1989"	"La sala de fauna del Museo del Templo Mayor"	NA	"Trace"	0	NA	"53-69"	NA	"Trace"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	278	NA	"1957"	"Notes on vertebrate animal remains from Mayapan"	NA	"Current Reports"	0	NA	"633-656"	NA	"Current Reports"	"Carnegie Institution of Washington Department of Archaeology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	279	NA	"1957"	"Pleistocene Equidae of Texas"	NA	"Bureau of Economic Geology"	0	NA	"5-51"	NA	"Bureau of Economic Geology"	"The University of Texas"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	280	NA	"1962"	"Mammutes: hallazgo de un cementerio en Jalisco"	NA	"Folia Universitaria"	3	NA	"1-63"	NA	"Folia Universitaria"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	281	NA	"1957"	"Pre-columbian horses from Yucatn"	NA	"Journal of Mammalogy"	38	NA	"278"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	282	NA	"1965"	"A glyptodon from South Carolina"	NA	"The Charleston Museum Leaflet"	0	NA	"1-12"	NA	"The Charleston Museum Leaflet"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	283	NA	"1980"	"Late Pleistocene and Holocene turkeys in the southwest"	NA	"Contributions in Science Natural History Museum of Los Angeles County"	330	NA	"209-224"	NA	"Contributions in Science Natural History Museum of Los Angeles County"	"The Natural History Museum of Los Angeles County"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	284	NA	"1967"	"Subfamilies and genera of the Soricidae"	NA	"U. S. Geological Survey Professional Paper 565"	0	NA	"1-74"	NA	"U. S. Geological Survey Professional Paper 565"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	285	NA	"1923"	"Los elefantes de la Cuenca de Mxico"	NA	"Revista Mexicana de Biologa"	3	NA	"227-244"	NA	"Revista Mexicana de Biologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	286	NA	"1927"	"Ejemplar nmerico 213 del Museo Paleontologa del Instituto Geolgico de Mxico"	NA	"Anales del Instituto Geolgico de Mxico"	2	NA	"203-204"	NA	"Anales del Instituto Geolgico de Mxico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	287	NA	"1978"	"Zooarchaeology: its history and development"	NA	"A History selected bibliography of Zooarchaeology in Eastern North American"	0	NA	"1-21"	NA	"A History selected bibliography of Zooarchaeology in Eastern North American"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	288	NA	"1986"	"The Quaternary distribution of the eastern woodrat, Neotoma floridiana, in Indiana"	NA	"Proceedings of the Indiana Academy of Science"	96	NA	"513-521"	NA	"Proceedings of the Indiana Academy of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	289	NA	"1979"	"Variation and evolution in the premolar teeth of Osteoborus and Borophagus (Canidae)"	NA	"Transactions of the Nebraska Academy of Sciences"	7	NA	"105-123"	NA	"Transactions of the Nebraska Academy of Sciences"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	290	NA	"1985"	"Los mamferos en las culturas antiguas de Mxico"	NA	"Zacatuche: Organo de informacin de la Asociacin Mexicana de Mastozologa, A. C."	0	NA	"2-12"	NA	"Zacatuche: Organo de informacin de la Asociacin Mexicana de Mastozologa, A. C."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	291	NA	"1989"	"El mastodonte americano"	NA	"Mundo Cientfico"	9	NA	"584-595"	NA	"Mundo Cientfico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	292	NA	"1951"	"Late Cenozoic vertebrates of the San Francisco bay region"	NA	"University of California Publications, Bulletin of the Department of Geological Sciences"	28	NA	"215-314"	NA	"University of California Publications, Bulletin of the Department of Geological Sciences"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	293	NA	"1941"	"Large Pleistocene felines of North America"	NA	"American Museum Novitates"	0	NA	"1-27"	NA	"American Museum Novitates"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	294	NA	"1942"	"The fauna of Papago Springs Cave, Arizona, and a study of Stockoceros; with three new antilocaprines form Nebraska and Arizona"	NA	"Bulletin of the American Museum of Natural History"	80	NA	"143-220"	NA	"Bulletin of the American Museum of Natural History"	"The American Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	295	NA	"1966"	"Platygonus compressus and associated fauna from the Laubach Cave of Texas"	NA	"The American Midland Naturalist"	75	NA	"475-494"	NA	"The American Midland Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	296	NA	"1994"	"New information on the Late Pleistocene birds from San Josecito Cave, Nuevo Leon, Mexico"	NA	"The Condor"	0	NA	"577-589"	NA	"The Condor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	297	NA	"1964"	"La cueva del Cordel"	NA	"Boletn de a Sociedad Nuevoleonesa de Historia, Geografa y Estadstica"	0	NA	"9-11"	NA	"Boletn de a Sociedad Nuevoleonesa de Historia, Geografa y Estadstica"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	298	NA	"1966"	"El Valle Zacoalco-Sayula"	NA	"Boletn de la Sociedad de Ciencias Naturales de Jalisco"	1	NA	NA	NA	"Boletn de la Sociedad de Ciencias Naturales de Jalisco"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	299	NA	"1985"	"The Sangamon interglacial vertebrate fauna from Rancho La Brisca, Sonora, Mexico"	NA	"Transactions of the San Diego Society of Natural History"	21	NA	"23-55"	NA	"Transactions of the San Diego Society of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	300	NA	"1986"	"Radiocarbon dates"	NA	"Guil Naquitz, Archaic foraging and Early agriculture in Oaxaca, Mexico"	0	NA	"175-176"	NA	"Guil Naquitz, Archaic foraging and Early agriculture in Oaxaca, Mexico"	"Academic Press"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	301	NA	"1970"	"A peccary, Platygonus compressus Le Conte, from drift of Wisconsin age in nortern Pennsylvania"	NA	"American Journal of Science"	268	NA	"78-94"	NA	"American Journal of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	302	NA	"1903"	"Apuntes acerca de la fauna fsil del Valle de Mxico"	NA	"Anales del Museo Nacional de Mxico, 1a. poca"	7	NA	"441-451"	NA	"Anales del Museo Nacional de Mxico, 1a. poca"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	303	NA	"1965"	"The osteology of Camelops"	NA	"Bulletin of the Los Angeles County Museum of Natural History, Science"	0	NA	"1-54"	NA	"Bulletin of the Los Angeles County Museum of Natural History, Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	304	NA	"1974"	"Pleistocene llamas of Florida, with a brief review of the Lamini"	NA	"Pleistocene mammals of Florida"	0	NA	"170-213"	NA	"Pleistocene mammals of Florida"	"The University Presses of Florida"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	305	NA	"1968"	"Preliminary notes of the faunal remains excavated from several sities in Sinaloa and Nayarit, Mexico"	NA	"Archaelogical reconnaissance and excavations in the Marismas Nacional, Sinaloa and Nayarit, Mxico Prelim"	0	NA	"150-152"	NA	"Archaelogical reconnaissance and excavations in the Marismas Nacional, Sinaloa and Nayarit, Mxico Prelim"	"State University of Buffalo of New York"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	306	NA	"1975"	"Vertebrate faunal remains"	NA	"Archaelogical investigations on the Yucatan Peninsula"	0	NA	"186-187"	NA	"Archaelogical investigations on the Yucatan Peninsula"	"National Geographic Society Tulane University program of research on the Yucatan Peninsula"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	307	NA	"1978"	"Use of dogs for food. An adaptation to the coastal environment"	NA	"Prehistoric coastal adaptations; Acad. Press Inc. Parte II"	0	NA	"29-41"	NA	"Prehistoric coastal adaptations; Acad. Press Inc. Parte II"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	308	NA	"1981"	"A comparison of Olmec and Maya foodways"	NA	"The Olmec and their neighbors"	0	NA	"21-28"	NA	"The Olmec and their neighbors"	"Dumbarton Oaks Research Library and Collections, Harvard University, Washington"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	309	NA	"1982"	"Prehistoric fishing communities of the Caribbean"	NA	"Journal of New World Archeology"	5	NA	"13-32"	NA	"Journal of New World Archeology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
